Entity,Code,Date,people_fully_vaccinated_per_hundred
Colorado,,2/5/2021,2.82
Colorado,,2/6/2021,3.11
Colorado,,2/7/2021,3.43
Colorado,,2/8/2021,3.61
Colorado,,2/9/2021,3.67
Colorado,,2/10/2021,3.92
Colorado,,2/11/2021,4.16
Colorado,,2/12/2021,4.41
Colorado,,2/13/2021,4.72
Colorado,,2/14/2021,5.05
Colorado,,2/16/2021,5.37
Colorado,,2/17/2021,5.46
Colorado,,2/18/2021,5.6
Colorado,,2/19/2021,6
Colorado,,2/20/2021,6.26
Colorado,,2/21/2021,6.57
Colorado,,2/22/2021,6.82
Colorado,,2/23/2021,6.84
Colorado,,2/24/2021,7.19
Colorado,,2/25/2021,7.41
Colorado,,2/26/2021,7.63
Colorado,,2/27/2021,7.65
Colorado,,2/28/2021,8.03
Colorado,,3/1/2021,8.33
Colorado,,3/2/2021,8.42
Colorado,,3/3/2021,8.67
Colorado,,3/4/2021,8.91
Colorado,,3/5/2021,9.14
Colorado,,3/6/2021,9.54
Colorado,,3/7/2021,9.86
Colorado,,3/8/2021,9.93
Colorado,,3/9/2021,10.16
Colorado,,3/10/2021,10.58
Colorado,,3/11/2021,11.12
Colorado,,3/12/2021,11.55
Colorado,,3/13/2021,12.07
Colorado,,3/14/2021,12.07
Connecticut,,1/12/2021,0.12
Connecticut,,1/13/2021,0.15
Connecticut,,1/15/2021,0.48
Connecticut,,1/19/2021,0.65
Connecticut,,1/20/2021,0.7
Connecticut,,1/21/2021,0.8
Connecticut,,1/22/2021,0.93
Connecticut,,1/23/2021,1.04
Connecticut,,1/24/2021,1.14
Connecticut,,1/25/2021,1.19
Connecticut,,1/26/2021,1.27
Connecticut,,1/27/2021,1.46
Connecticut,,1/28/2021,1.67
Connecticut,,1/29/2021,1.9
Connecticut,,1/30/2021,2.07
Connecticut,,1/31/2021,2.23
Connecticut,,2/1/2021,2.35
Connecticut,,2/2/2021,2.43
Connecticut,,2/3/2021,2.54
Connecticut,,2/4/2021,2.74
Connecticut,,2/5/2021,2.98
Connecticut,,2/6/2021,3.24
Connecticut,,2/7/2021,3.46
Connecticut,,2/8/2021,3.57
Connecticut,,2/9/2021,3.74
Connecticut,,2/10/2021,4.01
Connecticut,,2/11/2021,4.34
Connecticut,,2/12/2021,4.71
Connecticut,,2/13/2021,5.14
Connecticut,,2/14/2021,5.38
Connecticut,,2/16/2021,5.8
Connecticut,,2/17/2021,6.14
Connecticut,,2/18/2021,6.5
Connecticut,,2/19/2021,7.12
Connecticut,,2/20/2021,7.44
Connecticut,,2/21/2021,7.6
Connecticut,,2/22/2021,7.77
Connecticut,,2/23/2021,7.85
Connecticut,,2/24/2021,7.94
Connecticut,,2/25/2021,8.02
Connecticut,,2/26/2021,8.15
Connecticut,,2/27/2021,8.29
Connecticut,,2/28/2021,8.42
Connecticut,,3/1/2021,8.56
Connecticut,,3/2/2021,8.61
Connecticut,,3/3/2021,8.71
Connecticut,,3/4/2021,8.8
Connecticut,,3/5/2021,8.89
Connecticut,,3/6/2021,8.98
Connecticut,,3/7/2021,9.1
Connecticut,,3/8/2021,9.56
Connecticut,,3/9/2021,9.69
Connecticut,,3/10/2021,9.94
Connecticut,,3/11/2021,10.17
Connecticut,,3/12/2021,10.52
Connecticut,,3/13/2021,13.92
Connecticut,,3/14/2021,13.92
Delaware,,1/12/2021,0.29
Delaware,,1/13/2021,0.42
Delaware,,1/15/2021,0.55
Delaware,,1/19/2021,0.7
Delaware,,1/20/2021,0.71
Delaware,,1/21/2021,0.76
Delaware,,1/22/2021,0.91
Delaware,,1/23/2021,1.07
Delaware,,1/24/2021,1.18
Delaware,,1/25/2021,1.2
Delaware,,1/26/2021,1.2
Delaware,,1/27/2021,1.27
Delaware,,1/28/2021,1.35
Delaware,,1/29/2021,1.46
Delaware,,1/30/2021,1.54
Delaware,,1/31/2021,1.68
Delaware,,2/1/2021,1.81
Delaware,,2/2/2021,1.85
Delaware,,2/3/2021,1.91
Delaware,,2/4/2021,2.09
Delaware,,2/5/2021,2.18
Delaware,,2/6/2021,2.34
Delaware,,2/7/2021,2.49
Delaware,,2/8/2021,2.59
Delaware,,2/9/2021,2.61
Delaware,,2/10/2021,2.68
Delaware,,2/11/2021,2.76
Delaware,,2/12/2021,2.85
Delaware,,2/13/2021,3.02
Delaware,,2/14/2021,3.19
Delaware,,2/16/2021,3.49
Delaware,,2/17/2021,3.66
Delaware,,2/18/2021,3.85
Delaware,,2/19/2021,4.48
Delaware,,2/20/2021,4.78
Delaware,,2/21/2021,4.81
Delaware,,2/22/2021,4.96
Delaware,,2/23/2021,5.19
Delaware,,2/24/2021,5.44
Delaware,,2/25/2021,5.83
Delaware,,2/26/2021,6.37
Delaware,,2/27/2021,6.97
Delaware,,2/28/2021,7.34
Delaware,,3/1/2021,7.8
Delaware,,3/2/2021,7.8
Delaware,,3/3/2021,8.6
Delaware,,3/4/2021,8.98
Delaware,,3/5/2021,9.45
Delaware,,3/6/2021,9.9
Delaware,,3/7/2021,10.35
Delaware,,3/8/2021,10.33
Delaware,,3/9/2021,10.64
Delaware,,3/10/2021,10.66
Delaware,,3/11/2021,11.11
Delaware,,3/12/2021,11.43
Delaware,,3/13/2021,11.85
Delaware,,3/14/2021,11.87
District of Columbia,,1/13/2021,0.18
District of Columbia,,1/15/2021,1.17
District of Columbia,,1/19/2021,1.44
District of Columbia,,1/20/2021,1.5
District of Columbia,,1/21/2021,1.66
District of Columbia,,1/22/2021,1.71
District of Columbia,,1/23/2021,1.79
District of Columbia,,1/24/2021,1.85
District of Columbia,,1/25/2021,1.88
District of Columbia,,1/26/2021,1.88
District of Columbia,,1/27/2021,2.05
District of Columbia,,1/28/2021,2.15
District of Columbia,,1/29/2021,2.28
District of Columbia,,1/30/2021,2.41
District of Columbia,,1/31/2021,2.65
District of Columbia,,2/1/2021,2.72
District of Columbia,,2/2/2021,2.72
District of Columbia,,2/3/2021,2.8
District of Columbia,,2/4/2021,3.02
District of Columbia,,2/5/2021,3.22
District of Columbia,,2/6/2021,3.41
District of Columbia,,2/7/2021,3.71
District of Columbia,,2/8/2021,3.82
District of Columbia,,2/9/2021,3.82
District of Columbia,,2/10/2021,3.82
District of Columbia,,2/11/2021,4.5
District of Columbia,,2/12/2021,4.7
District of Columbia,,2/13/2021,4.87
District of Columbia,,2/14/2021,5.16
District of Columbia,,2/16/2021,5.53
District of Columbia,,2/17/2021,5.66
District of Columbia,,2/18/2021,5.85
District of Columbia,,2/19/2021,7.11
District of Columbia,,2/20/2021,7.31
District of Columbia,,2/21/2021,7.54
District of Columbia,,2/22/2021,7.68
District of Columbia,,2/23/2021,7.85
District of Columbia,,2/24/2021,8.04
District of Columbia,,2/25/2021,8.25
District of Columbia,,2/26/2021,8.44
District of Columbia,,2/27/2021,9.03
District of Columbia,,2/28/2021,9.42
District of Columbia,,3/1/2021,9.69
District of Columbia,,3/2/2021,9.77
District of Columbia,,3/3/2021,9.93
District of Columbia,,3/4/2021,10.14
District of Columbia,,3/5/2021,10.38
District of Columbia,,3/6/2021,11.21
District of Columbia,,3/7/2021,11.44
District of Columbia,,3/8/2021,7.33
District of Columbia,,3/9/2021,7.48
District of Columbia,,3/10/2021,7.76
District of Columbia,,3/11/2021,8
District of Columbia,,3/12/2021,8.22
District of Columbia,,3/13/2021,8.49
District of Columbia,,3/14/2021,8.78
Federated States of Micronesia,,1/15/2021,0
Federated States of Micronesia,,1/19/2021,0
Federated States of Micronesia,,1/20/2021,0
Federated States of Micronesia,,1/21/2021,0
Federated States of Micronesia,,1/22/2021,0
Federated States of Micronesia,,1/23/2021,0
Federated States of Micronesia,,1/24/2021,0
Federated States of Micronesia,,1/25/2021,0
Federated States of Micronesia,,1/26/2021,0
Federated States of Micronesia,,1/27/2021,0
Federated States of Micronesia,,1/28/2021,0
Federated States of Micronesia,,1/29/2021,0
Federated States of Micronesia,,1/30/2021,0
Federated States of Micronesia,,1/31/2021,0
Federated States of Micronesia,,2/1/2021,0.01
Federated States of Micronesia,,2/2/2021,0.02
Federated States of Micronesia,,2/3/2021,0.02
Federated States of Micronesia,,2/4/2021,0.03
Federated States of Micronesia,,2/5/2021,0.03
Federated States of Micronesia,,2/6/2021,0.08
Federated States of Micronesia,,2/7/2021,0.08
Federated States of Micronesia,,2/8/2021,0.11
Federated States of Micronesia,,2/9/2021,0.14
Federated States of Micronesia,,2/10/2021,0.24
Federated States of Micronesia,,2/11/2021,0.33
Federated States of Micronesia,,2/12/2021,0.44
Federated States of Micronesia,,2/13/2021,0.74
Federated States of Micronesia,,2/14/2021,0.85
Federated States of Micronesia,,2/16/2021,1.08
Federated States of Micronesia,,2/17/2021,1.4
Federated States of Micronesia,,2/18/2021,1.7
Federated States of Micronesia,,2/19/2021,2
Federated States of Micronesia,,2/20/2021,2
Federated States of Micronesia,,2/21/2021,2.34
Federated States of Micronesia,,2/22/2021,2.34
Federated States of Micronesia,,2/23/2021,2.34
Federated States of Micronesia,,2/24/2021,2.74
